title,embed_url,question_text,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,What did the woman ask the man if he had?,The woman asked the man if he had special skills.,If he had any previous job,If he was married,If he had kids
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,What did the man say he does?,He said he does voices.,He teaches voice lessons.,He said he does magic tricks.,He said he does stand up comedy.
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,What is the woman thinking while the man is speaking in different voices?,She is not amused by the man and considers him immature.,She is entertained by the voices.,She is thinking she wants him to keep on going,She was thinking about calling security.
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,What was the man’s goal in talking in different voices?,To demonstrate his special skills that might help him land a job.,To make the woman laugh,To show his favorite hobby.,To ask the woman for a job.
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,Where does the scene take place?,The scene takes place in an office.,In a restaurant.,In a coffee shop.,In a comedy club.
Mrs. Doubtfire - I Do Voices,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84,"Why does the man say ""I used to"" at the end of the clip?",Because he is aware that she is not amused by him,Because he is trying to be funny.,Because she asked him if he does stand up comedy and he used to do that.,Because she asks him if he has a wife.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,How does the girl feel about Julian asking about Auggie’s face?,She thinks Julian is being inappropriate and rude.,She thinks Julian is being polite.,She feels Julian is funny.,She likes Auggie more because Julian asked.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,What are these kids doing in the room in this clip?,The kids are taking a tour of a science classroom/laboratory.,The kids are playing catch in the room.,The kids are working on a science project.,The kids are drawing on the black board.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,What do you think the other kids think about Julian’s questions?,"That Julian is very rude, inconsiderate, and he is being a bully for making Auggie feel uncomfortable.",The other kids are thankful to Julian for asking the question that they didn’t dare ask.,That Julian is just curious.,That Julian is just trying to be funny.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,Why do you think the main character was shy and not talking?,He suffers from a physical disfigurement and may be self-conscious about it and shy.,He says that he suffers from a speech impediment.,He does not like the others present.,Because he had gotten into a fight.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,Why does Julian assume Auggie may not know much about science?,Because he knows that Auggie was home schooled.,Because Auggie told him he doesn't know much about science.,Because Auggie has a learning disability.,He was held back a grade.
Wonder - School Tour Scene,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100,Why was Julian's question about Auggie’s face rude?,"It's generally considered impolite to ask blunt questions about disabilities, at least not unless the person with the disability brings it up first.",It is rude to ask about his face without using proper medical terminology.,Because he made fun his mother.,Because he was being nosy.
The Big Bang Theory - Positive Reinforcement,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88,How would the girl (Penny) feel when she finds out why she was offered chocolate repeatedly?,She may feel hurt for being used.,She would be happy she was getting chocolate,She would be ok with it because she needed to change her behavior.,She would feel appreciated for being a good friend.
The Big Bang Theory - Positive Reinforcement,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88,What does the boy (Sheldon) offer the girl (Penny)?,He offers her chocolates,He offers her potato chips.,He offers her popcorn,He offers her cookies.
The Big Bang Theory - Positive Reinforcement,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88,Why does the boy (Sheldon) keep offering chocolate to the girl?,The boy keeps offering the girl chocolate to reward her for behaviors he likes.,Because he knows she likes chocolate,Because he has too much chocolate,He doesn't like chocolate so he's trying to get rid of it
The Big Bang Theory - Positive Reinforcement,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88,Why does the girl (Penny) leave the room?,She leaves to talk on the cell phone.,She leaves to go to the bathroom.,She leaves to get the mail,She leaves to go to school.
